iceberg_id,date,latitude,longitude,previous_delta_latitude,previous_delta_longitude,drift_speed_kmh,drift_heading_deg,size_1_nm,size_2_nm,sin_doy,cos_doy,current_extent,next_delta_latitude,next_delta_longitude,u10_t,v10_t,uo_t,vo_t
A64,2020-01-01,-69.7454,-60.9932,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.99985,6.285,0.0,0.0,1.021,-2.2552,0.0156,0.0249
A64,2020-01-02,-69.7454,-60.9932,0.0,0.0,0.0,0.0,0.0,0.0,0.0344,0.99941,6.129,0.0,0.0,0.2672,-2.8232,0.0174,0.0291
A64,2020-01-03,-69.7454,-60.9932,0.0,0.0,0.0,0.0,16.0,11.0,0.05158,0.99867,5.967,0.0,0.0,-0.0777,-1.6281,0.021,0.0285
A64,2020-01-04,-69.7454,-60.9932,0.0,0.0,0.0,0.0,0.0,0.0,0.06876,0.99763,5.876,0.0,0.0,0.9366,-5.2346,0.023,0.0255
A64,2020-01-05,-69.7454,-60.9932,0.0,0.0,0.0,0.0,0.0,0.0,0.08591,0.9963,5.774,-0.0957,-0.121,0.6041,-4.2733,0.0231,0.0244
A64,2020-01-06,-69.8411,-61.1142,-0.0957,-0.121,0.4838,203.54,0.0,0.0,0.10303,0.99468,5.734,0.0,0.0,0.2472,1.3956,0.0132,0.0388
A64,2020-01-07,-69.8411,-61.1142,0.0,0.0,0.0,0.0,0.0,0.0,0.12013,0.99276,5.611,-0.0746,-0.2084,0.1604,2.9254,0.0147,0.0436
A64,2020-01-10,-69.7333,-60.9833,0.1824,0.3393,1.0041,32.84,16.0,11.0,0.17118,0.98524,5.065,0.0,0.0,0.0731,-1.4886,0.0204,0.0333
A64,2020-01-11,-69.7333,-60.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.1881,0.98215,4.962,0.0,0.0,-0.5033,-1.1759,0.0145,0.0301
A64,2020-01-12,-69.7333,-60.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.20497,0.97877,4.863,0.0,0.0,-1.2133,1.1835,0.0089,0.0256
A64,2020-01-13,-69.7333,-60.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.22177,0.9751,4.726,-0.1884,-0.3632,-1.655,2.777,0.0065,0.0217
A64,2020-01-15,-69.7333,-60.9833,0.1884,0.3632,1.0482,33.79,0.0,0.0,0.25518,0.96689,4.442,0.0,0.0,0.0518,0.2434,0.018,0.0264
A64,2020-01-16,-69.7333,-60.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.27178,0.96236,4.393,-0.1884,-0.3632,-0.5107,0.217,0.017,0.0276
A64,2020-01-18,-69.7333,-60.9833,0.1884,0.3632,1.0482,33.79,0.0,0.0,0.30472,0.95244,4.249,-0.1884,-0.3632,1.2641,3.3701,0.0146,0.0302
A64,2020-01-20,-69.7333,-60.9833,0.1884,0.3632,1.0482,33.79,0.0,0.0,0.3373,0.9414,4.016,-0.1884,-0.3632,0.7034,0.7215,0.0132,0.0356
A64,2020-01-23,-69.7333,-60.9833,0.1884,0.3632,1.0482,33.79,0.0,0.0,0.38541,0.92274,3.92,-0.1812,-0.3747,2.2144,1.635,0.0135,0.0344
A64,2020-02-07,-69.8395,-61.1445,0.0604,0.1435,0.3615,39.34,16.0,11.0,0.60812,0.79384,3.091,0.0,0.0,1.1253,-0.4679,0.0025,0.0475
A64,2020-02-08,-69.8395,-61.1445,0.0,0.0,0.0,0.0,0.0,0.0,0.62169,0.78327,3.059,-0.0608,-0.0835,1.5793,-1.8042,0.0068,0.0412
A64,2020-02-13,-69.8748,-61.1535,0.0255,0.0745,0.1675,45.17,0.0,0.0,0.68668,0.72696,2.901,0.0255,0.0746,-1.1802,2.2143,0.017,0.0394
A64,2020-02-14,-69.8493,-61.0789,0.0255,0.0746,0.1677,45.24,16.0,11.0,0.69908,0.71504,2.852,-0.0095,-0.0509,-2.6443,1.3944,0.0202,0.0553
