iceberg_id,date,latitude,longitude,previous_delta_latitude,previous_delta_longitude,drift_speed_kmh,drift_heading_deg,size_1_nm,size_2_nm,sin_doy,cos_doy,current_extent,next_delta_latitude,next_delta_longitude
A22A,1994-02-16,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.72326,0.69057,3.107,0.0,0.0
A22A,1994-02-17,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.73503,0.67803,3.119,0.0,0.0
A22A,1994-02-18,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.74659,0.66529,3.104,0.0,0.0
A22A,1994-02-19,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.75792,0.65235,3.097,0.0,0.0
A22A,1994-02-20,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.76903,0.63921,3.098,0.0,0.0
A22A,1994-02-21,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.77991,0.62589,3.089,0.0,0.0
A22A,1994-02-22,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.79056,0.61238,3.126,0.0,0.0
A22A,1994-02-23,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.80098,0.59869,3.098,0.0,0.0
A22A,1994-02-24,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.81116,0.58482,3.092,0.0,0.0
A22A,1994-02-25,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8211,0.57078,3.109,0.0,0.0
A22A,1994-02-26,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8308,0.55658,3.144,0.0,0.0
A22A,1994-02-27,-76.6,-44.4,0.0,0.0,0.0,0.0,36.0,27.0,0.84025,0.5422,3.214,0.0,0.0
A22A,1994-02-28,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.84945,0.52767,3.309,0.0,0.0
A22A,1994-03-01,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8584,0.51298,3.363,0.0,0.0
A22A,1994-03-02,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8671,0.49814,3.459,0.0,0.0
A22A,1994-03-03,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.87554,0.48315,3.53,0.0,0.0
A22A,1994-03-04,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.88372,0.46802,3.595,0.0,0.0
A22A,1994-03-05,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.89164,0.45274,3.642,0.0,0.0
A22A,1994-03-06,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8993,0.43734,3.66,0.0,0.0
A22A,1994-03-07,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.90669,0.42181,3.641,0.0,0.0
A22A,1994-03-08,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.91381,0.40615,3.735,0.0,0.0
A22A,1994-03-09,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.92066,0.39037,3.768,0.0,0.0
A22A,1994-03-10,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.92724,0.37447,3.884,0.0,0.0
A22A,1994-03-11,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.93354,0.35847,4.002,0.0,0.0
A22A,1994-03-12,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.93957,0.34236,4.04,0.0,0.0
A22A,1994-03-13,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.94532,0.32614,4.221,0.0,0.0
A22A,1994-03-14,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.95079,0.30983,4.287,0.0,0.0
A22A,1994-03-15,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.95598,0.29343,4.39,0.0,0.0
A22A,1994-03-16,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.96089,0.27695,4.509,0.0,0.0
A22A,1994-03-17,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.96551,0.26038,4.61,0.0,0.0
A22A,1994-03-18,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.96984,0.24373,4.706,0.0,0.0
A22A,1994-03-19,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.97389,0.22701,4.795,0.0,0.0
A22A,1994-03-20,-76.6,-44.4,0.0,0.0,0.0,0.0,36.0,27.0,0.97765,0.21022,4.887,0.0,0.0
A22A,1994-03-21,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.98112,0.19338,4.974,0.0,0.0
A22A,1994-03-22,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.98431,0.17647,5.075,0.0,0.0
A22A,1994-03-23,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9872,0.15951,5.164,0.0,0.0
A22A,1994-03-24,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.98979,0.14251,5.253,0.0,0.0
A22A,1994-03-25,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9921,0.12546,5.368,0.0,0.0
A22A,1994-03-26,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99411,0.10838,5.487,0.0,0.0
A22A,1994-03-27,-76.6,-44.4,0.0,0.0,0.0,0.0,36.0,27.0,0.99583,0.09126,5.614,0.0,0.0
A22A,1994-03-28,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99725,0.07412,5.734,0.0,0.0
A22A,1994-03-29,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99838,0.05695,5.841,0.0,0.0
A22A,1994-03-30,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99921,0.03977,5.875,0.0,0.0
A22A,1994-03-31,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99975,0.02258,5.921,0.0,0.0
A22A,1994-04-01,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99999,0.00538,6.001,0.0,0.0
A22A,1994-04-02,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99993,-0.01183,6.071,0.0,0.0
A22A,1994-04-03,-76.6,-44.4,0.0,0.0,0.0,0.0,36.0,27.0,0.99958,-0.02903,6.134,0.0,0.0
A22A,1994-04-04,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99893,-0.04622,6.189,0.0,0.0
A22A,1994-04-05,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99799,-0.06339,6.233,0.0,0.0
A22A,1994-04-06,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99675,-0.08055,6.31,0.0,0.0
A22A,1994-04-07,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99522,-0.09768,6.411,0.0,0.0
A22A,1994-04-08,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99339,-0.11479,6.493,0.0,0.0
A22A,1994-04-09,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.99127,-0.13186,6.565,0.0,0.0
A22A,1994-04-10,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.98885,-0.14889,6.653,0.0,0.0
A22A,1994-04-11,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.98615,-0.16588,6.81,0.0,0.0
A22A,1994-04-12,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.98315,-0.18282,6.877,0.0,0.0
A22A,1994-04-13,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.97986,-0.1997,6.971,0.0,0.0
A22A,1994-04-14,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.97628,-0.21653,7.074,0.0,0.0
A22A,1994-04-15,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.97241,-0.23329,7.128,0.0,0.0
A22A,1994-04-16,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.96825,-0.24998,7.184,0.0,0.0
A22A,1994-04-17,-76.6,-44.4,0.0,0.0,0.0,0.0,36.0,27.0,0.96381,-0.2666,7.327,0.0,0.0
A22A,1994-04-18,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.95908,-0.28314,7.445,0.0,0.0
A22A,1994-04-19,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.95407,-0.29959,7.565,0.0,0.0
A22A,1994-04-20,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.94877,-0.31596,7.708,0.0,0.0
A22A,1994-04-21,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9432,-0.33224,7.755,0.0,0.0
A22A,1994-04-22,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.93734,-0.34841,7.828,0.0,0.0
A22A,1994-04-23,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.93121,-0.36448,7.882,0.0,0.0
A22A,1994-04-24,-76.6,-44.4,0.0,0.0,0.0,0.0,36.0,27.0,0.9248,-0.38045,7.999,0.0,0.0
A22A,1994-04-25,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.91812,-0.3963,8.1,0.0,0.0
A22A,1994-04-26,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.91117,-0.41203,8.161,0.0,0.0
A22A,1994-04-27,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.90395,-0.42765,8.3,0.0,0.0
A22A,1994-04-28,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.89646,-0.44313,8.365,0.0,0.0
A22A,1994-04-29,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8887,-0.45849,8.499,0.0,0.0
A22A,1994-04-30,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.88068,-0.47371,8.609,0.0,0.0
A22A,1994-05-01,-76.6,-44.4,0.0,0.0,0.0,0.0,36.0,27.0,0.8724,-0.48879,8.733,0.0,0.0
A22A,1994-05-02,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.86387,-0.50372,8.847,0.0,0.0
A22A,1994-05-03,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.85507,-0.51851,8.968,0.0,0.0
A22A,1994-05-04,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.84603,-0.53314,9.037,0.0,0.0
A22A,1994-05-05,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.83673,-0.54761,9.159,0.0,0.0
A22A,1994-05-06,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.82719,-0.56192,9.308,0.0,0.0
A22A,1994-05-07,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8174,-0.57607,9.449,0.0,0.0
A22A,1994-05-08,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.80737,-0.59004,9.582,0.0,0.0
A22A,1994-05-09,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7971,-0.60385,9.692,0.0,0.0
A22A,1994-05-10,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7866,-0.61747,9.79,0.0,0.0
A22A,1994-05-11,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.77586,-0.63091,9.912,0.0,0.0
A22A,1994-05-12,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.76489,-0.64416,9.995,0.0,0.0
A22A,1994-05-13,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7537,-0.65722,10.109,0.0,0.0
A22A,1994-05-14,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.74228,-0.67009,10.208,0.0,0.0
A22A,1994-05-15,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.73064,-0.68276,10.342,0.0,0.0
A22A,1994-05-16,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.71879,-0.69523,10.466,0.0,0.0
A22A,1994-05-17,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.70673,-0.70749,10.558,0.0,0.0
A22A,1994-05-18,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.69445,-0.71954,10.725,0.0,0.0
A22A,1994-05-19,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.68197,-0.73138,10.905,0.0,0.0
A22A,1994-05-20,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.66929,-0.743,11.032,0.0,0.0
A22A,1994-05-21,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.65641,-0.7544,11.14,0.0,0.0
A22A,1994-05-22,-76.6,-44.4,0.0,0.0,0.0,0.0,36.0,27.0,0.64334,-0.76558,11.141,0.0,0.0
A22A,1994-05-23,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.63007,-0.77654,11.139,0.0,0.0
A22A,1994-05-24,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.61662,-0.78726,11.208,0.0,0.0
A22A,1994-05-25,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.60299,-0.79775,11.277,0.0,0.0
A22A,1994-05-26,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.58918,-0.808,11.358,0.0,0.0
A22A,1994-05-27,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.57519,-0.81802,11.445,0.0,0.0
A22A,1994-05-28,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.56103,-0.82779,11.536,0.0,0.0
A22A,1994-05-29,-76.6,-44.4,0.0,0.0,0.0,0.0,36.0,27.0,0.54671,-0.83732,11.681,0.0,0.0
A22A,1994-05-30,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.53223,-0.8466,11.907,0.0,0.0
A22A,1994-05-31,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.51759,-0.85563,11.999,0.0,0.0
A22A,1994-06-01,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.50279,-0.86441,12.108,0.0,0.0
A22A,1994-06-02,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.48785,-0.87293,12.162,0.0,0.0
A22A,1994-06-03,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.47276,-0.88119,12.23,0.0,0.0
A22A,1994-06-04,-76.6,-44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.45753,-0.88919,12.325,0.0,0.0
