date,region,mean_sic,min_sic,max_sic,valid_cells
2026-08-10,Weddell Sea,59.67,0.0,100.0,75437
2026-08-10,Ross Sea,96.75,0.0,100.0,37694
2026-08-10,Amundsen Sea,97.13,4.0,100.0,17919
2026-08-10,Bellingshausen Sea,70.99,0.0,100.0,22890
2026-08-10,Scotia Sea,3.34,0.0,100.0,59842
2026-08-10,Prydz Bay,72.19,0.0,100.0,336
2026-08-10,Davis Sea,88.62,0.0,100.0,6271
2026-08-10,Cooperation Sea,71.39,0.0,100.0,12603
2026-08-10,Mawson Sea,77.81,0.0,100.0,11879
2026-08-10,Cosmonaut Sea,43.2,0.0,100.0,13366
2026-08-10,Somov Sea,97.33,0.0,100.0,14592
2026-08-10,Riiser-Larsen Sea,75.83,0.0,100.0,15823
2026-08-10,Lazarev Sea,97.76,6.0,100.0,12110
2026-08-10,King Haakon VII Sea,96.52,3.0,100.0,16529
2026-08-10,Antarctic Peninsula,3.62,0.0,100.0,18138
2026-08-11,Weddell Sea,62.39,0.0,100.0,75443
2026-08-11,Ross Sea,95.53,0.0,100.0,37675
2026-08-11,Amundsen Sea,95.87,3.0,100.0,17918
2026-08-11,Bellingshausen Sea,68.23,0.0,100.0,22884
2026-08-11,Scotia Sea,4.14,0.0,100.0,59842
2026-08-11,Prydz Bay,68.4,1.0,100.0,346
2026-08-11,Davis Sea,88.5,0.0,100.0,6273
2026-08-11,Cooperation Sea,72.05,0.0,100.0,12610
2026-08-11,Mawson Sea,73.55,0.0,100.0,11882
2026-08-11,Cosmonaut Sea,41.07,0.0,100.0,13362
2026-08-11,Somov Sea,96.93,0.0,100.0,14589
2026-08-11,Riiser-Larsen Sea,78.07,0.0,100.0,15818
2026-08-11,Lazarev Sea,93.93,0.0,100.0,12108
2026-08-11,King Haakon VII Sea,95.55,3.0,100.0,16529
2026-08-11,Antarctic Peninsula,2.61,0.0,100.0,18138
2026-08-12,Weddell Sea,63.93,0.0,100.0,75440
2026-08-12,Ross Sea,95.02,0.0,100.0,37695
2026-08-12,Amundsen Sea,96.17,3.0,100.0,17921
2026-08-12,Bellingshausen Sea,67.2,0.0,100.0,22877
2026-08-12,Scotia Sea,4.83,0.0,100.0,59842
2026-08-12,Prydz Bay,89.04,11.0,100.0,334
2026-08-12,Davis Sea,86.84,0.0,100.0,6280
2026-08-12,Cooperation Sea,75.9,0.0,100.0,12605
2026-08-12,Mawson Sea,74.4,0.0,100.0,11876
2026-08-12,Cosmonaut Sea,40.13,0.0,100.0,13361
2026-08-12,Somov Sea,95.5,0.0,100.0,14595
2026-08-12,Riiser-Larsen Sea,78.69,0.0,100.0,15813
2026-08-12,Lazarev Sea,98.56,13.0,100.0,12110
2026-08-12,King Haakon VII Sea,97.54,36.0,100.0,16529
2026-08-12,Antarctic Peninsula,2.25,0.0,100.0,18138
2026-08-13,Weddell Sea,68.62,0.0,100.0,75448
2026-08-13,Ross Sea,96.06,0.0,100.0,37682
2026-08-13,Amundsen Sea,97.14,0.0,100.0,17918
2026-08-13,Bellingshausen Sea,64.53,0.0,100.0,22876
2026-08-13,Scotia Sea,5.13,0.0,100.0,59842
2026-08-13,Prydz Bay,87.47,26.0,100.0,337
2026-08-13,Davis Sea,87.32,0.0,100.0,6264
2026-08-13,Cooperation Sea,76.29,0.0,100.0,12596
2026-08-13,Mawson Sea,78.6,0.0,100.0,11882
