Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A76C,16,7,-53.73,-29.5,112.44,84.90,291.21,08/27/2026
A81,28,25,-58.74,-49.94,518.07,391.20,1341.79,08/27/2026
A83,12,7,-61.12,-50.36,73.29,55.34,189.82,08/27/2026
A84,12,6,-71.58,-101.73,76.06,57.43,196.99,08/27/2026
A85,10,3,-62.85,-53.38,24.18,18.26,62.62,08/27/2026
B09B,27,10,-66.07,143.15,196.50,148.38,508.94,08/27/2026
B09G,12,7,-68.18,41.5,61.80,46.66,160.06,08/27/2026
B22A,29,25,-69.48,170.13,549.47,414.92,1423.13,08/27/2026
B22F,14,7,-67.16,-176.58,87.42,66.01,226.42,08/27/2026
B22H,8,6,-70.21,163.73,29.14,22.00,75.47,08/27/2026
B51,15,3,-74.25,-131.68,30.50,23.03,79.00,08/27/2026
C15,14,10,-65.84,143.02,82.44,62.25,213.53,08/27/2026
C18B,10,4,-67.03,47.38,42.63,32.19,110.40,08/27/2026
C18C,10,2,-68.47,39.07,20.49,15.47,53.07,08/27/2026
C21B,12,8,-64.98,95.83,99.99,75.50,258.97,08/27/2026
C24,11,3,-64.84,96.02,22.35,16.87,57.88,08/27/2026
C30,9,3,-64.78,96.27,28.98,21.89,75.06,08/27/2026
C31,9,3,-64.68,96.49,28.21,21.30,73.07,08/27/2026
C36,23,16,-67.46,146.48,327.46,247.28,848.13,08/27/2026
C39,8,3,-65.9,56.66,20.13,15.20,52.13,08/27/2026
D15A,51,22,-66.63,81.92,1172.77,885.59,3037.47,08/27/2026
D15B,20,12,-67.02,81.58,235.72,178.00,610.52,08/27/2026
D15C,14,7,-67.22,79.41,44.64,33.71,115.62,08/27/2026
D15D,8,6,-67.29,79.3,21.58,16.30,55.89,08/27/2026
D23,7,6,-69.44,74.71,40.77,30.79,105.60,08/27/2026
D32,9,6,-58.17,-37.1,41.08,31.02,106.39,08/27/2026
D33A,19,10,-64.04,-55.89,172.22,130.04,446.04,08/27/2026
D33B,21,12,-59.81,-49.94,123.81,93.49,320.68,08/27/2026
D33C,9,5,-61.54,-53.58,31.55,23.82,81.72,08/27/2026
D33D,15,6,-63.58,-55.24,79.41,59.96,205.66,08/27/2026
D34,11,8,-67.16,82.06,64.02,48.34,165.80,08/27/2026
D35,15,6,-60.65,-43.84,83.45,63.01,216.13,08/27/2026
D37,30,7,-69.21,36.36,184.47,139.29,477.77,08/27/2026
